region,destRegion,packetTransmit,packetReceive,packetLossCount,packetLossRate,rttMin,rttAvg,rttMax,rttMdev,packetDuplicateCount,packetDuplicateRate
NA,EU,100,100,0,0.0,150.901,151.252,161.862,1.572,0,0.0
NA,EU,100,100,0,0.0,144.766,144.88,145.565,0.472,0,0.0
NA,EU,100,100,0,0.0,178.926,179.165,179.638,0.535,0,0.0
NA,NA,100,100,0,0.0,185.981,186.101,186.795,0.494,0,0.0
NA,AS,100,100,0,0.0,193.474,193.601,195.848,0.467,0,0.0
NA,EU,100,100,0,0.0,169.235,169.4,170.577,0.365,0,0.0
NA,EU,100,100,0,0.0,148.428,148.55,150.175,0.194,0,0.0
NA,NA,100,100,0,0.0,56.978,58.716,66.98,2.235,0,0.0
NA,EU,100,100,0,0.0,160.347,160.558,161.876,0.322,0,0.0
NA,EU,100,100,0,0.0,174.466,174.554,174.891,0.492,0,0.0
NA,NA,100,100,0,0.0,65.128,65.314,66.938,0.375,0,0.0
NA,EU,100,100,0,0.0,173.499,173.611,173.791,0.403,0,0.0
NA,NA,100,100,0,0.0,66.565,66.779,69.547,0.49,0,0.0
NA,EU,100,100,0,0.0,175.222,175.399,175.561,0.534,0,0.0
NA,AS,100,100,0,0.0,152.045,152.243,154.848,0.476,0,0.0
NA,NA,100,100,0,0.0,72.93,73.089,73.503,0.328,0,0.0
NA,EU,100,100,0,0.0,140.177,140.413,141.318,0.345,0,0.0
NA,AS,100,100,0,0.0,123.23,123.402,124.821,0.307,0,0.0
NA,EU,100,100,0,0.0,157.155,157.878,163.725,0.812,0,0.0
NA,EU,100,100,0,0.0,166.315,166.465,170.649,0.454,0,0.0
NA,EU,100,100,0,0.0,170.614,171.22,174.758,1.079,0,0.0
NA,NA,100,100,0,0.0,66.829,67.135,68.647,0.441,0,0.0
NA,NA,100,100,0,0.0,77.804,77.901,78.506,0.283,0,0.0
NA,NA,100,100,0,0.0,77.542,86.505,168.963,12.652,0,0.0
NA,EU,100,100,0,0.0,157.347,157.464,158.87,0.566,0,0.0
NA,EU,100,100,0,0.0,177.12,177.247,178.125,0.276,0,0.0
NA,EU,100,100,0,0.0,173.159,173.372,178.278,0.634,0,0.0
NA,NA,100,100,0,0.0,75.903,76.021,77.985,0.389,0,0.0
NA,EU,100,100,0,0.0,140.513,140.642,141.485,0.377,0,0.0
NA,EU,100,100,0,0.0,166.084,166.184,167.558,0.584,0,0.0
NA,NA,100,100,0,0.0,20.41,20.683,22.203,0.298,0,0.0
NA,EU,100,100,0,0.0,158.776,158.843,159.15,0.27,0,0.0
NA,OC,100,100,0,0.0,157.804,158.241,159.959,0.609,0,0.0
NA,AS,100,100,0,0.0,196.443,196.818,197.429,0.234,0,0.0
NA,AS,100,99,1,1.0,129.205,151.548,175.52,12.419,0,0.0
